JINA_ID,Ref,Name,Simbad_Identifier,NLTE,I_mag,Teff,logg,Mg/H,C/Mg
172,AOK13,SDSSJ012617.95+060724.8,2MASS_J01261795+0607248,*,,6900,4,'-2.35,2.42
174,ROE14b,CS29504-006,2MASS_J01320497-3622429,*,13.844,6150,3.7,'-2.75,1.22
176,BAR05,HE0131-3953,2MASS_J01333645-3937519,*,15.323,5928,3.83,'-2.39,2.12
181,COH04,HE0143-0441,2MASS_J01453792-0426434,*,,6370,4.4,'-1.75,1.21
182,COH06,HE0143-0441,2MASS_J01453792-0426434,*,,6240,3.7,'-1.74,1.57
183,COH13,HE0143-0441,2MASS_J01453792-0426434,*,,6240,3.7,'-1.7,1.49
184,BAR05,HE0143-1135,2MASS_J01461033-1120107,*,14.769,5629,4.53,'-1.82,'-0.12
188,ROE14a,CS22958-042,2MASS_J02010743-5716588,*,13.902,5760,3.55,'-2.65,1.81
189,ROE14b,CS22958-042,2MASS_J02010743-5716588,*,13.902,5760,3.55,'-2.65,1.81
190,SIV06,CS22958-042,2MASS_J02010743-5716588,*,13.902,6250,3.5,'-2.55,2.82
208,AOK07a,CS29528-028,2MASS_J02282654-2133009,*,14.015,6800,4,'-1.24,1.11
210,BAR05,HE0231-4016,2MASS_J02334439-4003428,*,15.475,5972,3.59,'-1.88,1.12
211,HAN15,HE0233-0343,2MASS_J02362978-0330060,*,14.818,6100,3.4,'-4.09,2.89
212,HAN14,HE0233-0343,2MASS_J02362978-0330060,*,14.818,6100,3.4,'-4.11,3.03
214,BON09,CS31061-032,2MASS_J02384329+0319024,*,13.29,6409,4.25,'-2.38,0.48
231,BAR05,HE0244-4111,2MASS_J02455745-4059068,*,14.302,5624,3.39,'-2.24,'-0.11
235,LAI08,CS22963-004,2MASS_J02564657-0451174,*,,5659,3.4,'-3.09,0.16
237,BAR05,HE0256-1109,2MASS_J02591016-1058019,*,14.891,5891,4.04,'-2.28,0.18
267,BAR05,HE0317-4640,2MASS_J03185625-4629276,*,15.974,5872,4.1,'-2.03,'-0.11
272,AOK02d,CS29526-110,2MASS_J03274362-2300299,*,12.834,6500,3.2,'-2.1,2.01
