# Table 6 from https://ui.adsabs.harvard.edu/abs/2021ApJ...923...65F/abstract
# These are derived from emission lines (?) of early type (elliptical?) galaxies
# Stellar Population Results as a Function of Galaxy Radius r/R _e, where We Take the Slit Width into Account, and Distance from the Galaxy Center along the Slit x/R _e


r/R _e	x/R _e	sigma	t	[Z/H]	IMF	[O/Fe]	[Mg/Fe]	[Si/Fe]	[Ca/Fe]	[Ti/Fe]	[Fe/H]	[Na/Fe]	[C/Fe]	[N/Fe]	
		(km s^-1)	(Gyr)	(dex)		(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	
NGC 4552		
M89	
NGC5061															
0.017	0.005	${206}_{-2}^{+2}$	${3.0}_{-0.2}^{+0.2}$	${0.28}_{-0.02}^{+0.02}$	${3.3}_{-0.2}^{+0.1}$	${0.28}_{-0.04}^{+0.04}$	${0.21}_{-0.03}^{+0.03}$	${0.15}_{-0.04}^{+0.04}$	$-{0.01}_{-0.03}^{+0.03}$	${0.28}_{-0.04}^{+0.04}$	$-{0.08}_{-0.03}^{+0.03}$	${0.65}_{-0.03}^{+0.03}$	${0.26}_{-0.03}^{+0.03}$	${0.31}_{-0.04}^{+0.04}$	
0.027	0.022	${184}_{-2}^{+2}$	${3.0}_{-0.2}^{+0.2}$	${0.27}_{-0.02}^{+0.02}$	${3.3}_{-0.1}^{+0.1}$	${0.21}_{-0.05}^{+0.05}$	${0.20}_{-0.04}^{+0.04}$	${0.11}_{-0.04}^{+0.04}$	$-{0.02}_{-0.04}^{+0.04}$	${0.24}_{-0.04}^{+0.04}$	$-{0.06}_{-0.03}^{+0.03}$	${0.60}_{-0.04}^{+0.04}$	${0.23}_{-0.04}^{+0.04}$	${0.23}_{-0.05}^{+0.05}$	
0.053	0.050	${179}_{-2}^{+2}$	${3.0}_{-0.2}^{+0.2}$	${0.22}_{-0.02}^{+0.02}$	${3.4}_{-0.1}^{+0.1}$	${0.19}_{-0.06}^{+0.05}$	${0.21}_{-0.04}^{+0.04}$	${0.09}_{-0.04}^{+0.04}$	$-{0.02}_{-0.04}^{+0.04}$	${0.19}_{-0.04}^{+0.04}$	$-{0.07}_{-0.03}^{+0.03}$	${0.38}_{-0.04}^{+0.04}$	${0.21}_{-0.03}^{+0.03}$	${0.09}_{-0.07}^{+0.07}$	
0.085	0.083	${181}_{-2}^{+2}$	${3.6}_{-0.2}^{+0.2}$	${0.16}_{-0.02}^{+0.02}$	${3.4}_{-0.1}^{+0.1}$	${0.15}_{-0.06}^{+0.06}$	${0.19}_{-0.05}^{+0.05}$	${0.07}_{-0.04}^{+0.04}$	$-{0.04}_{-0.04}^{+0.04}$	${0.15}_{-0.05}^{+0.05}$	$-{0.05}_{-0.03}^{+0.03}$	${0.25}_{-0.04}^{+0.04}$	${0.18}_{-0.03}^{+0.03}$	$-{0.02}_{-0.07}^{+0.07}$	
0.134	0.133	${174}_{-2}^{+2}$	${3.7}_{-0.2}^{+0.2}$	${0.11}_{-0.02}^{+0.02}$	${3.4}_{-0.1}^{+0.1}$	${0.13}_{-0.05}^{+0.06}$	${0.20}_{-0.04}^{+0.04}$	${0.06}_{-0.05}^{+0.04}$	$-{0.02}_{-0.04}^{+0.04}$	${0.15}_{-0.05}^{+0.05}$	$-{0.06}_{-0.03}^{+0.03}$	${0.20}_{-0.05}^{+0.05}$	${0.17}_{-0.03}^{+0.03}$	$-{0.09}_{-0.08}^{+0.08}$	
0.209	0.208	${176}_{-3}^{+3}$	${4.0}_{-0.4}^{+0.3}$	${0.04}_{-0.04}^{+0.04}$	${3.3}_{-0.3}^{+0.2}$	${0.11}_{-0.08}^{+0.08}$	${0.18}_{-0.06}^{+0.06}$	${0.03}_{-0.07}^{+0.07}$	$-{0.06}_{-0.05}^{+0.05}$	${0.12}_{-0.07}^{+0.07}$	$-{0.02}_{-0.04}^{+0.04}$	${0.11}_{-0.08}^{+0.08}$	${0.14}_{-0.05}^{+0.05}$	$-{0.09}_{-0.12}^{+0.11}$	
0.292	0.292	${168}_{-3}^{+3}$	${4.6}_{-0.2}^{+0.2}$	$-{0.11}_{-0.02}^{+0.02}$	${2.9}_{-0.2}^{+0.2}$	${0.27}_{-0.06}^{+0.06}$	${0.15}_{-0.04}^{+0.04}$	$-{0.10}_{-0.05}^{+0.05}$	$-{0.04}_{-0.04}^{+0.04}$	${0.10}_{-0.06}^{+0.05}$	$-{0.03}_{-0.03}^{+0.03}$	${0.10}_{-0.05}^{+0.05}$	${0.16}_{-0.03}^{+0.03}$	$-{0.10}_{-0.07}^{+0.08}$	
0.770	0.770	${167}_{-5}^{+5}$	${5.5}_{-0.9}^{+0.9}$	$-{0.33}_{-0.03}^{+0.03}$	${1.9}_{-0.4}^{+0.3}$	${0.42}_{-0.05}^{+0.05}$	${0.16}_{-0.04}^{+0.03}$	$-{0.09}_{-0.08}^{+0.08}$	$-{0.11}_{-0.03}^{+0.03}$	${0.03}_{-0.07}^{+0.07}$	$-{0.07}_{-0.02}^{+0.02}$	${0.12}_{-0.05}^{+0.04}$	${0.19}_{-0.02}^{+0.02}$	${0.10}_{-0.09}^{+0.09}$	
															
NGC7144															
